epoch,train_loss,train_pixel_loss,train_boundary_loss,train_shape_loss,val_loss,val_pixel_loss,val_boundary_loss,val_shape_loss,val_iou,val_dice,val_precision,val_recall,val_pixel_accuracy,learning_rate,epoch_time_seconds,total_time_seconds
1,0.7225297093391418,0.7623538109991286,0.0,0.3242889907624986,0.9577619731426239,0.0,0.0,0.0,0.12589077651500702,0.22335077077150345,0.1259256675839424,0.9980513155460358,0.1281045265495777,3.3333333333333335e-05,22.157270669937134,22.18014645576477
2,0.6795802182621427,0.7207585109604729,0.0,0.2677973707516988,1.3545257449150085,0.0,0.0,0.0,0.12661688402295113,0.22449559718370438,0.1266496442258358,0.9979713261127472,0.1339651755988598,6.666666666666667e-05,1.2123961448669434,23.79036569595337
3,0.6265748474333022,0.6662103136380514,0.0,0.2302202797598309,1.4208732843399048,0.0,0.0,0.0,0.14106036722660065,0.24695228785276413,0.1424795463681221,0.9301933944225311,0.28816668689250946,0.0001,1.2431674003601074,25.467331171035767
4,0.5803439219792684,0.6176660988065932,0.0,0.2071220642990536,2.5159226655960083,0.0,0.0,0.0,0.14564328640699387,0.25401491671800613,0.14859086275100708,0.8780151903629303,0.3532613068819046,0.0001,1.231060266494751,27.10731053352356
5,0.5494814978705512,0.5853308041890463,0.0,0.1909885952870051,1.0327177345752716,0.0,0.0,0.0,0.14667334407567978,0.25573403388261795,0.16156624257564545,0.6185548603534698,0.5496171414852142,9.988845558722652e-05,1.2126798629760742,28.72788166999817
6,0.5077011154757606,0.539949913819631,0.0,0.1852133803897434,0.9383261799812317,0.0,0.0,0.0,0.14366938918828964,0.2511643245816231,0.1668236255645752,0.5224267095327377,0.6116186678409576,9.955432053333127e-05,1.2156383991241455,30.393268823623657
7,0.4944084684054057,0.525732997390959,0.0,0.1811632298760944,0.7864713668823242,0.0,0.0,0.0,0.14035674184560776,0.24610883742570877,0.17555493861436844,0.4304960072040558,0.6722297668457031,9.899908716657751e-05,1.201751947402954,31.790136098861694
8,0.47830238276057774,0.5085359315077463,0.0,0.17596694992648232,0.6471559107303619,0.0,0.0,0.0,0.15455100685358047,0.2676863372325897,0.24733442813158035,0.31433501839637756,0.7870445251464844,9.822523529396612e-05,1.2107267379760742,33.20746612548828
9,0.45741335882080925,0.4853957063621945,0.0,0.17759000096056196,0.584158331155777,0.0,0.0,0.0,0.17947547137737274,0.30363647639751434,0.45148034393787384,0.23288052529096603,0.867694228887558,9.723622112581555e-05,1.2127046585083008,34.8719208240509
10,0.4336300293604533,0.4598877231280009,0.0,0.17105313473277622,0.5683294236660004,0.0,0.0,0.0,0.15618954598903656,0.26865800470113754,0.7327536344528198,0.16454675793647766,0.8867270052433014,9.603646183948762e-05,1.232975721359253,36.563393115997314
11,0.4352259271674686,0.46180997292200726,0.0,0.1693855474392573,0.5698187351226807,0.0,0.0,0.0,0.14263538271188736,0.2483249232172966,0.738802582025528,0.14926622062921524,0.8856639862060547,9.463131585120108e-05,1.254673719406128,38.06855392456055
12,0.41497526897324455,0.4394991331630283,0.0,0.16973675621880424,0.5739673376083374,0.0,0.0,0.0,0.1197844110429287,0.21311603486537933,0.7989111244678497,0.12295810505747795,0.8850911557674408,9.302705888404396e-05,1.2354772090911865,39.50060415267944
13,0.3974312941233317,0.4204104012913174,0.0,0.16764036648803288,0.5731213986873627,0.0,0.0,0.0,0.15548602864146233,0.2672407403588295,0.7545320987701416,0.1623881831765175,0.8871135711669922,9.123085593907093e-05,1.2293720245361328,40.937567949295044
14,0.39526061216990155,0.41801077127456665,0.0,0.16775907410515678,0.5686079263687134,0.0,0.0,0.0,0.10709531605243683,0.19301633536815643,0.8451103270053864,0.10895652323961258,0.8847923278808594,8.925072929466912e-05,1.2087090015411377,42.34848141670227
15,0.36978862351841396,0.38998255133628845,0.0,0.16784941156705221,0.5688497424125671,0.0,0.0,0.0,0.12719560787081718,0.22445645183324814,0.8273670673370361,0.12987663969397545,0.8865521848201752,8.709552267711549e-05,1.2515442371368408,43.80817461013794
16,0.3535529143280453,0.37227895193629795,0.0,0.16629263096385533,0.5638991892337799,0.0,0.0,0.0,0.14195169135928154,0.24709907919168472,0.805004894733429,0.14596736058592796,0.8873844146728516,8.47748617623484e-05,1.2217953205108643,45.2738835811615
17,0.3445741401778327,0.3625977370474074,0.0,0.16433826088905334,0.560189813375473,0.0,0.0,0.0,0.13520720601081848,0.23704741895198822,0.8384867310523987,0.13806619122624397,0.88763427734375,8.229911118536218e-05,1.2025940418243408,46.679245471954346
18,0.35730207628673977,0.3767249319288466,0.0,0.16307361920674643,0.5546444654464722,0.0,0.0,0.0,0.17428236454725266,0.294455423951149,0.7364320158958435,0.184022955596447,0.888012558221817,7.96793282492313e-05,1.2147448062896729,48.08706474304199
19,0.3448193636205461,0.3626987205611335,0.0,0.16602592170238495,0.5611637532711029,0.0,0.0,0.0,0.11459348723292351,0.2050706297159195,0.8784625828266144,0.11611279845237732,0.8863919675350189,7.692721354051047e-05,1.2144296169281006,49.496827125549316
