point_id,boundary_loss_weight,encoder_filters,learning_rate,model_architecture,pixel_loss_type,shape_loss_weight,train_loss,val_iou,test_iou,test_dice,test_precision,test_recall,test_pixel_acc,test_boundary_iou,test_boundary_f1,test_compactness,best_epoch,total_epochs,stopped_early,result_dir
11,0.3,shallow,0.0001,attunet,bce_iou,0.0,0.32832059926456875,0.13888026773929596,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,3,13,True,grid_search_results/point_000011
12,0.3,shallow,0.0005,unetpp,bce,0.0,0.219026161564721,0.16357874125242233,0.2990460693836212,0.45988720655441284,0.49917301535606384,0.4270276129245758,0.8205178678035736,0.07103791832923889,0.13248490169644356,0.00044643717410508543,10,20,True,grid_search_results/point_000012
13,0.3,shallow,0.001,scse_unet,bce_iou,0.2,0.3729306161403656,0.1497202143073082,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,10,20,True,grid_search_results/point_000013
14,0.3,micro,0.0001,attunet,bce_iou,0.2,0.4096466071075863,0.020306847989559174,9.564437971983108e-06,1.9128506904360376e-05,0.12500003156782746,9.56498730693737e-06,0.8210042417049408,8.653736798328038e-12,1.2081674365376632e-12,0.018229166977107525,1,11,True,grid_search_results/point_000014
15,0.3,micro,0.0001,r2attunet,dice,0.1,0.3124269081486596,0.13099676370620728,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,4,14,True,grid_search_results/point_000015
16,0.3,micro,0.0001,scse_unet,bce,0.0,0.43589186006122166,0.14634668827056885,0.052006691694259644,0.09828521311283112,0.9451553225517273,0.05211062356829643,0.8295230865478516,0.007748646195977926,0.015375285409390926,0.0011720155598595738,6,16,True,grid_search_results/point_000016
17,0.3,micro,0.0001,resunet,bce,0.2,0.37348610493871903,0.014079348649829626,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,2,12,True,grid_search_results/point_000017
18,0.3,micro,0.0005,unet,bce,0.1,0.22058476838800642,0.1268475353717804,0.0005452040948180252,0.001089220518918871,1.0,0.0005452040948180252,0.821124404668808,8.640736997439502e-12,1.0509462542568609e-11,0.5029078666120768,2,12,True,grid_search_results/point_000018
19,0.3,micro,0.0005,seunet,bce_iou,0.1,0.43227532174852157,0.1319214329123497,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,4,14,True,grid_search_results/point_000019
20,0.3,micro,0.0005,resunet,bce,0.2,0.3315940201282501,0.16882388293743134,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,2,12,True,grid_search_results/point_000020
